지점명,일시,평균기온(℃),최고기온(℃),최고기온시각,최저기온(℃),최저기온시각일교차
수원,2019-12-04,2.6,8.2,15:08,-1.7,7:49
수원,2019-12-05,-3.2,1.3,0:01,-7.9,23:41
수원,2019-12-06,-5.6,-0.4,14:56,-10.8,7:33
수원,2019-12-07,-1.7,2.9,15:29,-6.3,0:39
수원,2019-12-08,-1.2,5.2,14:53,-6.8,6:57
수원,2019-12-09,3.4,8.4,15:18,-2.8,3:19
수원,2019-12-10,7.2,11.6,14:30,2.4,1:18
수원,2019-12-11,6,9.5,12:06,0.9,24:00:00
수원,2019-12-12,-0.4,4,14:18,-3.2,23:17
수원,2019-12-13,1.7,6.2,15:27,-4.7,6:22
수원,2019-12-14,2.5,6.4,14:37,0.1,8:00
수원,2019-12-15,4.9,11.8,15:18,-2,2:11
수원,2019-12-16,8.2,14.3,14:31,-0.2,2:27
수원,2019-12-17,7.7,10.5,0:01,4,23:59
수원,2019-12-18,1,4.9,14:29,-1.3,7:27
수원,2019-12-19,-0.3,4,14:33,-3.3,7:57
수원,2019-12-20,-1.1,3.1,12:54,-4.3,23:49
수원,2019-12-21,-1.1,3.3,15:10,-5.9,3:11
수원,2019-12-22,3.9,8.5,15:02,-0.4,0:01
수원,2019-12-23,3.2,5.2,12:55,-0.5,23:36
수원,2019-12-24,0.6,6.8,15:43,-3.8,7:46
수원,2019-12-25,1.3,7.3,15:43,-4.4,6:15
수원,2019-12-26,2,3.7,5:13,-1.5,23:57
수원,2019-12-27,-1.1,2.9,14:09,-4.9,7:28
수원,2019-12-28,0.6,6.1,15:59,-4.3,7:11
수원,2019-12-29,3.2,6.2,13:40,-1.3,1:33
수원,2019-12-30,3.1,7,11:51,-4.2,23:51
수원,2019-12-31,-6.9,-3.7,15:54,-9.7,7:49
수원,2020-01-01,-2.2,0.3,15:35,-6.3,0:36
수원,2020-01-02,1.3,3.2,15:56,-0.3,1:01
수원,2020-01-03,-0.1,5.2,14:59,-3.9,7:57
수원,2020-01-04,1.3,7.6,14:59,-4.9,4:33
수원,2020-01-05,0.1,6.3,14:35,-5.9,7:49
수원,2020-01-06,3.5,4.9,23:57,-1.8,0:21
수원,2020-01-07,7.7,12.2,23:10,4.9,0:01
수원,2020-01-08,2.9,11.7,0:01,0.1,23:47
수원,2020-01-09,-0.3,3.1,14:45,-3.1,23:52
수원,2020-01-10,-0.7,4.5,15:45,-4.6,4:04
수원,2020-01-11,-0.2,4.5,13:48,-3.8,4:43
수원,2020-01-12,-0.5,2.4,14:52,-3.9,7:39
수원,2020-01-13,-2,0.6,15:02,-4.6,23:09
수원,2020-01-14,-2,3.2,15:04,-6.1,4:36
수원,2020-01-15,-2.5,2.3,14:56,-7,4:59
수원,2020-01-16,-2,4.1,15:23,-6.9,4:03
수원,2020-01-17,-1.1,4.8,15:17,-5.6,6:08
수원,2020-01-18,-0.5,5.6,14:51,-5.3,7:41
수원,2020-01-19,1.7,5.9,13:01,-2.1,0:04
수원,2020-01-20,1.2,5.7,13:53,-2.8,23:41
수원,2020-01-21,-0.7,5.4,15:47,-5.9,7:24
수원,2020-01-22,2.1,5.1,16:22,-1.3,0:09
수원,2020-01-23,4.1,10.7,14:03,-1.4,7:50
수원,2020-01-24,2.4,9.2,14:11,-2.2,8:12
수원,2020-01-25,2.8,9.1,15:07,-2.2,3:46
수원,2020-01-26,5.3,11.9,14:38,-2.7,7:05
수원,2020-01-27,5.9,8.1,13:56,3.5,20:20
수원,2020-01-28,7.4,11,14:44,3.9,0:08
수원,2020-01-29,6.2,11.4,14:09,1,3:31
수원,2020-01-30,5.3,10.5,14:00,0.7,6:42
수원,2020-01-31,2.9,7.5,12:40,-0.5,23:21
수원,2020-02-01,1.9,7.7,15:09,-2.2,6:11
수원,2020-02-02,1,5.8,14:36,-3.5,6:39
수원,2020-02-03,-0.1,3,14:17,-2.9,23:59
수원,2020-02-04,-1,5.1,14:41,-7,6:54
수원,2020-02-05,-7.2,-2.4,0:01,-9.9,7:50
수원,2020-02-06,-6.3,0.2,16:07,-11.9,4:47
수원,2020-02-07,-1.5,2.8,15:04,-7.9,1:09
수원,2020-02-08,0.4,4.6,14:42,-2.2,23:25
수원,2020-02-09,-0.9,3.9,14:51,-7,7:03
수원,2020-02-10,3.2,10.5,14:52,-1.9,7:27
수원,2020-02-11,5.9,14.5,15:21,-2.9,4:15
수원,2020-02-12,7.3,8.4,5:22,5.3,0:12
수원,2020-02-13,5.9,7.6,0:08,3.6,24:00:00
수원,2020-02-14,6.5,13.3,15:18,2,7:12
수원,2020-02-15,8.7,15.3,13:34,3,3:37
수원,2020-02-16,-1.1,5,0:01,-3.7,20:45
수원,2020-02-17,-4.8,-3.1,0:36,-6.6,22:28
수원,2020-02-18,-3.6,1.5,16:01,-7.9,6:07
수원,2020-02-19,1.1,6.3,15:54,-4.7,0:23
수원,2020-02-20,4.4,11.6,14:56,-0.5,7:28
수원,2020-02-21,6.5,11.9,13:53,0.4,0:31
수원,2020-02-22,4.4,8,11:55,0.4,23:49
수원,2020-02-23,2.2,7.8,15:56,-3.5,7:28
수원,2020-02-24,7,13.7,14:59,-0.7,5:11
수원,2020-02-25,6.8,8.3,18:40,5.6,5:04
수원,2020-02-26,5.6,11.4,14:25,1.1,4:51
수원,2020-02-27,5.5,11.6,15:57,0.2,6:07
수원,2020-02-28,4.6,5.7,20:14,2.9,11:56
수원,2020-02-29,7,13,14:13,3.3,23:51
수원,2020-03-01,4.8,10.2,12:38,0.4,4:57
수원,2020-03-02,3.1,6.8,14:08,0.6,23:58
수원,2020-03-03,4.6,10.8,13:58,-0.9,5:39
수원,2020-03-04,2.5,5.3,13:02,-0.9,23:55
수원,2020-03-05,1.1,5.6,13:49,-2.3,7:20
수원,2020-03-06,3.1,10.4,15:56,-3.8,6:45
수원,2020-03-07,5.3,12.9,14:26,-0.8,3:22
수원,2020-03-08,7.4,17.1,15:50,-1.1,6:36
수원,2020-03-09,9.5,16.6,15:19,1.2,7:13
수원,2020-03-10,6.6,8.9,0:09,3.9,23:51
수원,2020-03-11,3.5,7.3,14:17,0.4,7:05
수원,2020-03-12,6.5,14.1,14:21,-1,5:43
수원,2020-03-13,5.4,9.7,12:21,0.3,23:53
수원,2020-03-14,3.9,8.9,13:12,-2.9,6:25
수원,2020-03-15,4.5,9.4,11:24,1,23:18
수원,2020-03-16,3.3,9.5,15:14,-2.4,6:27
수원,2020-03-17,5.9,12.8,15:19,1.5,0:01
수원,2020-03-18,9.4,17.8,15:28,-0.9,5:06
수원,2020-03-19,8.7,13.5,7:02,6.6,20:48
수원,2020-03-20,8.7,14.7,12:56,2.6,6:41
수원,2020-03-21,11.8,20.4,15:50,4.4,3:52
수원,2020-03-22,10.9,17.2,13:43,5.1,6:03
수원,2020-03-23,9.3,16.7,14:56,3.2,5:20
수원,2020-03-24,9.6,17.6,14:14,2.2,5:36
수원,2020-03-25,11.8,19.9,14:48,2.6,6:43
수원,2020-03-26,14.1,20.9,13:36,6.3,5:33
수원,2020-03-27,11.1,13.9,0:01,6.8,23:50
수원,2020-03-28,7.5,12.8,15:33,4.4,23:44
수원,2020-03-29,7.4,15.8,15:22,-1,6:03
수원,2020-03-30,8.3,15.8,13:23,1.5,6:14
수원,2020-03-31,9.8,18,13:35,1,6:28
수원,2020-04-01,11.1,17.6,12:30,6.6,23:56
수원,2020-04-02,8.7,15.4,13:09,1.9,5:38
수원,2020-04-03,9.1,15.6,13:13,3.8,2:47
수원,2020-04-04,8.9,13.7,13:42,4.6,6:30
수원,2020-04-05,6.7,11.8,13:03,2,5:18
